EventId,Station,SampleDate,SampleTime,Depth,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude
394237,LE5.1,2013-07-15,10:50:00,1,D,FS1,CHLA,NA,26.2,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
394237,LE5.1,2013-07-15,10:50:00,1,D,FS2,CHLA,NA,25.6,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
394409,LE5.1,2013-10-01,10:00:00,1,D,S1,CHLA,NA,3.56,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
394410,LE5.1,2013-11-06,09:55:00,1,D,S1,CHLA,NA,2.53,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
394268,TF5.6,2013-07-18,12:00:00,1,D,S1,CHLA,NA,24.9,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
394671,TF5.6,2014-01-15,12:30:00,1,D,S1,CHLA,NA,1.64,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
394496,TF5.6,2013-12-03,11:50:00,1,D,S1,CHLA,NA,2.44,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
394494,TF5.6,2013-10-01,11:30:00,1,D,S1,CHLA,NA,5.09,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
394495,TF5.6,2013-11-05,12:30:00,1,D,S1,CHLA,NA,3.1,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
394879,TF5.6,2014-07-01,12:15:00,1,D,S1,CHLA,NA,25.9,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
394733,TF5.6,2014-06-03,12:00:00,1,D,S1,CHLA,NA,9.18,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
394880,TF5.6,2014-08-05,11:50:00,1,D,S1,CHLA,NA,4.06,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
394881,TF5.6,2014-09-03,11:35:00,1,D,S1,CHLA,NA,19.6,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
394672,TF5.6,2014-02-04,12:25:00,1,D,S1,CHLA,NA,2.33,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
394673,TF5.6,2014-04-01,12:05:00,1,D,S1,CHLA,NA,9.49,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
394674,TF5.6,2014-05-06,12:15:00,1,D,S1,CHLA,NA,3.36,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
395010,TF5.6,2014-12-02,11:45:00,1,D,S1,CHLA,NA,8.49,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
395008,TF5.6,2014-10-07,11:30:00,1,D,S1,CHLA,NA,10.9,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
395009,TF5.6,2014-11-04,12:10:00,1,D,S1,CHLA,NA,5.25,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
395475,TF5.6,2013-08-15,12:10:00,1,D,S1,CHLA,NA,12.3,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
395381,TF5.6,2015-03-12,12:00:00,1,D,S1,CHLA,NA,5.93,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
395379,TF5.6,2015-01-06,11:30:00,1,D,S1,CHLA,NA,2.97,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
395380,TF5.6,2015-02-03,12:00:00,1,D,S1,CHLA,NA,1.99,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
457146,LE5.1,2019-03-19,10:30:00,1,D,S1,CHLA,NA,10.7,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
457147,LE5.1,2019-04-10,09:30:00,1,D,S1,CHLA,NA,34.1,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
457148,LE5.1,2019-05-07,09:45:00,1,D,S1,CHLA,NA,15.8,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
457149,LE5.1,2019-06-04,10:00:00,1,D,S1,CHLA,NA,3.28,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
458616,LE5.1,2019-07-09,09:40:00,1,D,S1,CHLA,NA,11,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
458617,LE5.1,2019-08-06,09:30:00,1,D,S1,CHLA,NA,4.22,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
458618,LE5.1,2019-09-10,09:30:00,1,D,S1,CHLA,NA,5.16,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
458619,LE5.1,2019-10-24,09:00:00,1,D,S1,CHLA,NA,6.35,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
458620,LE5.1,2019-11-05,09:15:00,1,D,S1,CHLA,NA,3.68,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
458782,TF5.5A,2019-11-05,11:20:00,1,D,S1,CHLA,NA,38.5,UG/L,L01,VADCLS,NA,NA,NA,NA,37.30165,-77.1284
461987,LE5.1,2020-01-09,09:30:00,1,D,S1,CHLA,NA,21.1,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
461988,LE5.1,2020-02-04,09:40:00,1,D,S1,CHLA,NA,35.4,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
461989,LE5.1,2020-03-03,09:00:00,1,D,S1,CHLA,NA,5.62,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
462068,TF5.5A,2020-03-11,11:50:00,1,D,S1,CHLA,NA,13.9,UG/L,L01,VADCLS,NA,NA,NA,NA,37.30165,-77.1284
462511,LE5.1,2020-07-07,09:00:00,1,D,S1,CHLA,NA,8.38,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
462512,LE5.1,2020-08-06,09:00:00,1,D,S1,CHLA,NA,7.1,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
462513,LE5.1,2020-09-01,09:30:00,1,D,S1,CHLA,NA,3.79,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
510253,LE5.1,2020-10-06,09:15:00,1,D,S1,CHLA,NA,6.05,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
30134,LE5.1,2013-03-20,09:20:00,1,D,S1,CHLA,NA,3.7,UG/L,L01,VADCLS,NA,NA,NA,NA,37.20297,-76.64833
457316,TF5.6,2019-02-05,10:30:00,1,D,S1,CHLA,NA,1.58,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
457317,TF5.6,2019-03-05,10:40:00,1,D,S1,CHLA,NA,1.6,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
457318,TF5.6,2019-04-09,10:55:00,1,D,S1,CHLA,NA,11.8,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
457319,TF5.6,2019-05-07,10:50:00,1,D,S1,CHLA,NA,5.55,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
457320,TF5.6,2019-06-04,11:05:00,1,D,S1,CHLA,NA,15,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
458784,TF5.6,2019-07-09,10:40:00,1,D,S1,CHLA,NA,21.7,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
458785,TF5.6,2019-08-06,11:05:00,1,D,S1,CHLA,NA,23.5,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
458786,TF5.6,2019-09-10,10:40:00,1,D,S1,CHLA,NA,9.61,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
458787,TF5.6,2019-10-08,10:30:00,1,D,S1,CHLA,NA,7.33,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
458788,TF5.6,2019-11-05,10:50:00,1,D,S1,CHLA,NA,19.9,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
458789,TF5.6,2019-12-12,10:55:00,1,D,S1,CHLA,NA,16.1,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
462069,TF5.6,2020-01-08,10:48:00,1,D,S1,CHLA,NA,14.4,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
462070,TF5.6,2020-02-04,10:40:00,1,D,S1,CHLA,NA,13,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
462071,TF5.6,2020-03-11,11:10:00,1,D,S1,CHLA,NA,6.59,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
462598,TF5.6,2020-07-07,10:25:00,1,D,S1,CHLA,NA,31.4,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
462599,TF5.6,2020-08-13,11:15:00,1,D,S1,CHLA,NA,38,UG/L,L01,VADCLS,NA,NA,NA,NA,37.27272,-76.99057
