"EventId","Station","SampleDate","SampleTime","CHLA"
394237,"LE5.1","2013-07-15","10:50:00",26.2
394237,"LE5.1","2013-07-15","10:50:00",25.6
394409,"LE5.1","2013-10-01","10:00:00",3.56
394410,"LE5.1","2013-11-06","09:55:00",2.53
394268,"TF5.6","2013-07-18","12:00:00",24.9
394671,"TF5.6","2014-01-15","12:30:00",1.64
394496,"TF5.6","2013-12-03","11:50:00",2.44
394494,"TF5.6","2013-10-01","11:30:00",5.09
394495,"TF5.6","2013-11-05","12:30:00",3.1
394879,"TF5.6","2014-07-01","12:15:00",25.9
394733,"TF5.6","2014-06-03","12:00:00",9.18
394880,"TF5.6","2014-08-05","11:50:00",4.06
394881,"TF5.6","2014-09-03","11:35:00",19.6
394672,"TF5.6","2014-02-04","12:25:00",2.33
394673,"TF5.6","2014-04-01","12:05:00",9.49
394674,"TF5.6","2014-05-06","12:15:00",3.36
395010,"TF5.6","2014-12-02","11:45:00",8.49
395008,"TF5.6","2014-10-07","11:30:00",10.9
395009,"TF5.6","2014-11-04","12:10:00",5.25
395475,"TF5.6","2013-08-15","12:10:00",12.3
395381,"TF5.6","2015-03-12","12:00:00",5.93
395379,"TF5.6","2015-01-06","11:30:00",2.97
395380,"TF5.6","2015-02-03","12:00:00",1.99
457146,"LE5.1","2019-03-19","10:30:00",10.7
457147,"LE5.1","2019-04-10","09:30:00",34.1
457148,"LE5.1","2019-05-07","09:45:00",15.8
457149,"LE5.1","2019-06-04","10:00:00",3.28
458616,"LE5.1","2019-07-09","09:40:00",11
458617,"LE5.1","2019-08-06","09:30:00",4.22
458618,"LE5.1","2019-09-10","09:30:00",5.16
458619,"LE5.1","2019-10-24","09:00:00",6.35
458620,"LE5.1","2019-11-05","09:15:00",3.68
458782,"TF5.5A","2019-11-05","11:20:00",38.5
461987,"LE5.1","2020-01-09","09:30:00",21.1
461988,"LE5.1","2020-02-04","09:40:00",35.4
461989,"LE5.1","2020-03-03","09:00:00",5.62
462068,"TF5.5A","2020-03-11","11:50:00",13.9
462511,"LE5.1","2020-07-07","09:00:00",8.38
462512,"LE5.1","2020-08-06","09:00:00",7.1
462513,"LE5.1","2020-09-01","09:30:00",3.79
510253,"LE5.1","2020-10-06","09:15:00",6.05
30134,"LE5.1","2013-03-20","09:20:00",3.7
457316,"TF5.6","2019-02-05","10:30:00",1.58
457317,"TF5.6","2019-03-05","10:40:00",1.6
457318,"TF5.6","2019-04-09","10:55:00",11.8
457319,"TF5.6","2019-05-07","10:50:00",5.55
457320,"TF5.6","2019-06-04","11:05:00",15
458784,"TF5.6","2019-07-09","10:40:00",21.7
458785,"TF5.6","2019-08-06","11:05:00",23.5
458786,"TF5.6","2019-09-10","10:40:00",9.61
458787,"TF5.6","2019-10-08","10:30:00",7.33
458788,"TF5.6","2019-11-05","10:50:00",19.9
458789,"TF5.6","2019-12-12","10:55:00",16.1
462069,"TF5.6","2020-01-08","10:48:00",14.4
462070,"TF5.6","2020-02-04","10:40:00",13
462071,"TF5.6","2020-03-11","11:10:00",6.59
462598,"TF5.6","2020-07-07","10:25:00",31.4
462599,"TF5.6","2020-08-13","11:15:00",38
462600,"TF5.6","2020-09-01","11:40:00",12.4
462600,"TF5.6","2020-09-01","11:40:00",12.8
510326,"TF5.6","2020-10-06","11:15:00",16.5
510327,"TF5.6","2020-11-04","11:20:00",2.38
510328,"TF5.6","2020-12-10","10:42:00",1.6
583879,"TF5.6","2021-01-05","10:35:00",1.08
583880,"TF5.6","2021-02-03","10:30:00",2.9
583881,"TF5.6","2021-03-11","10:50:00",2.3
587803,"TF5.6","2021-04-19","11:25:00",11
587804,"TF5.6","2021-05-04","10:50:00",11.2
587805,"TF5.6","2021-06-08","10:50:00",9.95
587806,"TF5.6","2021-07-07","10:45:00",19.6
587807,"TF5.6","2021-08-03","10:50:00",18.3
587808,"TF5.6","2021-09-02","10:35:00",28.4
596917,"TF5.6","2021-10-05","11:15:00",17.7
596918,"TF5.6","2021-11-04","10:55:00",31.9
608694,"TF5.6","2022-04-13","10:40:00",40
608695,"TF5.6","2022-05-03","10:55:00",16.5
608696,"TF5.6","2022-06-07","11:10:00",21.1
608791,"TF5.6","2022-02-09","11:05:00",18.3
621280,"TF5.6","2022-07-06","11:10:00",26.2
621281,"TF5.6","2022-08-10","11:50:00",36.9
621281,"TF5.6","2022-08-10","11:50:00",36
621282,"TF5.6","2022-09-07","11:15:00",17.6
622036,"TF5.6","2022-10-20","10:45:00",8.56
622037,"TF5.6","2022-11-01","10:50:00",7.12
622038,"TF5.6","2022-12-05","11:25:00",4.9
