"EventId","Station","SampleDate","SampleTime","Longitude","CHLA","DIN","DO","DOC","DON","DOP","FCOLI_C","FSS","KD","NH4F","NO23F","NO2F","NO3F","PC","PH","PHEO","PN","PO4F","PP","SALINITY","SECCHI","SIF","SIGMA_T","SPCOND","TDN","TDP","TN","TON","TP","TSS","TURB_NTU","VSS","WTEMP"
30018,"TF5.6","2013-03-05","12:00:00",-76.99057,3.45,0.836,11.22,NA,0.201,0.009,25,28,NA,0.192,0.644,0.016,0.628,0.78,7.6,2.3,0.099,0.013,0.0332,NA,0.4,NA,NA,165,1.037,0.022,NA,NA,0.0552,34,32.4,NA,6.88
30020,"TF5.5A","2013-03-05","12:30:00",-77.1284,4.57,0.644,11.4,NA,0.177,NA,75,21,NA,0.139,0.505,0.01,0.495,1.05,7.75,1.93,0.086,0.009,0.0326,NA,0.4,NA,NA,193,0.821,0.018,NA,NA,0.0506,26,18.6,NA,7.39
30021,"TF5.5","2013-03-05","13:00:00",-77.23283,3.28,0.52,11.31,NA,0.241,NA,150,172,NA,0.137,0.383,0.009,NA,1.1,7.68,2.03,0.148,0.009,0.0356,NA,0.4,3.9719,NA,187,0.761,0.018,NA,NA,0.0536,202,123,NA,7.71
30134,"LE5.1","2013-03-20","09:20:00",-76.64833,3.7,0.623,10.71,NA,0.255,0.005,25,21,NA,0.133,0.49,0.01,0.48,0.861,7.8,3.14,0.112,0.015,0.0391,1.27,0.4,NA,0.84549,2469,0.878,0.02,NA,NA,0.0591,25,23.3,NA,9.03
30142,"RET5.2","2013-03-20","09:45:00",-76.78219,4.59,0.487,11.04,4.18,0.239,0.011,25,37,4.2256,0.095,0.392,0.008,NA,1.58,7.7,4.68,0.172,0.013,0.0572,0.1,0.3,3.7383,-0.0541,216,0.726,0.024,NA,NA,0.0812,42,36.1,NA,8.71
30203,"LE5.1","2013-04-02","10:50:00",-76.64833,2.99,0.427,10.68,NA,0.225,0.002,25,31,NA,0.099,0.328,0.004,NA,0.468,7.67,2.85,0.064,0.014,0.0533,1.95,0.3,NA,1.28128,3688,0.652,0.016,NA,NA,0.0693,37,29.2,NA,10.17
30206,"RET5.2","2013-04-02","11:20:00",-76.78219,3.42,0.402,10.95,3.81,0.21,0.007,25,31,5.2275,0.073,0.329,0.005,NA,1.89,7.71,2.82,0.248,0.014,0.0532,0.32,0.2,3.1308,0.02145,610,0.612,0.021,NA,NA,0.0742,36,34.1,NA,9.94
30212,"TF5.6","2013-04-02","12:00:00",-76.99057,4.16,0.46,11.09,NA,0.187,0.009,25,23,NA,0.091,0.369,0.007,NA,0.859,7.55,2.79,0.079,0.01,0.033,NA,0.5,NA,NA,151,0.647,0.019,NA,NA,0.052,27,22,NA,9.63
30214,"TF5.5A","2013-04-02","12:25:00",-77.1284,11.2,0.4,11.42,NA,0.181,NA,25,22,NA,0.077,0.323,0.006,NA,1.12,7.69,3.95,0.131,0.005,0.0362,NA,0.4,NA,NA,169,0.581,0.011,NA,NA,NA,27,21.4,NA,11.12
30215,"TF5.5","2013-04-02","12:50:00",-77.23283,6.82,0.372,11.23,3.07,0.169,NA,25,17,2.6521,0.08,0.292,0.006,NA,0.9,7.67,1.77,0.087,0.006,0.0273,NA,0.7,3.5514,NA,166,0.541,0.012,0.628,0.256,NA,20,14.7,NA,11.24
